ke,len_inLAr
0.0951743,7.23582
0.0959007,7.42873
0.096687,7.43108
0.0971571,7.46998
0.0972702,7.55887
0.0975313,7.61743
0.098283,7.78948
0.0996425,7.84959
0.0999369,7.85967
0.100943,8.04834
0.101343,8.05065
0.10193,8.12572
0.102086,8.19538
0.102412,8.2315
0.102517,8.3211
0.10326,8.37451
0.103869,8.45735
0.104006,8.54838
0.105235,8.59808
0.105435,8.64315
0.105452,8.70457
0.105827,8.74296
0.106053,8.76731
0.106565,8.82857
0.107637,8.99558
0.108589,9.11319
0.108844,9.18124
0.109889,9.31896
0.110504,9.36513
0.11076,9.39229
0.111383,9.47786
0.111804,9.52592
0.111977,9.52965
0.112132,9.62629
0.112559,9.78677
0.112669,9.84988
0.112791,9.93562
0.114399,10.0058
0.115529,10.0327
0.115549,10.0455
0.116062,10.1771
0.11651,10.2733
0.11709,10.3729
0.117226,10.3784
0.117341,10.572
0.117947,10.6526
0.119248,10.737
0.120211,10.8256
0.120455,11.0151
0.120866,11.0992
0.122585,11.204
0.12321,11.4882
0.124006,11.5861
0.125587,11.6871
0.125776,12.0076
0.126861,12.1614
0.128557,12.4405
0.129854,12.5255
0.131582,12.9117
0.134352,13.1735
0.134552,13.3278
0.135068,13.4029
0.135714,13.5471
0.136958,13.566
0.137636,13.7845
0.138619,14.0414
0.139432,14.0609
0.14147,14.3282
0.14234,14.6158
0.143717,14.9481
0.144381,15.0028
0.144805,15.3628
0.14631,15.4697
0.147319,15.5696
0.148327,15.8991
0.14995,16.0917
0.151438,16.2079
0.151777,16.235
0.152015,16.5446
0.154027,16.6193
0.15444,17.0328
0.157859,17.3056
0.157912,17.3666
0.158015,17.4805
0.158719,17.8813
0.160892,18.0107
0.160944,18.165
0.162372,18.2197
0.163876,18.5366
0.164105,18.8312
0.164588,18.8441
0.165918,18.8981
0.166679,19.3801
0.168764,19.4298
0.170046,19.5156
0.170472,19.7527
0.170558,19.9377
0.171057,20.318
0.173492,20.6973
0.177201,21.6827
0.178783,21.7115
0.180411,21.7437
0.180948,22.1972
0.182494,22.2705
0.182598,22.5577
0.182732,22.801
0.185754,23.1396
0.186355,23.4102
0.188472,23.7052
0.190808,23.7604
0.191618,23.8461
0.193048,23.938
0.193341,24.5349
0.194821,24.7673
0.197975,25.8973
0.200584,26.3105
0.202216,26.6184
0.204484,26.7144
